Municipality, Industry,F Construction,"Trade, transport and accommodation",J Information and communication,L Real estate activities,Professional and technical activities,Other personal services
 Araba/Álava,1806,2416,6923,396,278,3194,1841
 Albacete,2642,3480,10350,289,1317,3385,2506
 Alicante/Alacant,9809,20135,52782,2441,10819,24457,13187
 Almería,2170,5970,19050,518,2222,6819,4184
 Ávila,665,1858,4170,88,288,1231,921
 Badajoz,3115,4792,17949,439,1391,5781,4177
" Balears, Illes",4759,17326,31277,1620,7732,20362,9165
 Barcelona,25768,53152,154227,14384,36401,99087,42579
 Burgos,1705,3289,8836,225,1412,3109,4691
 Cáceres,1631,3723,10501,266,885,3264,2618
 Cádiz,3028,6264,27860,810,3473,10111,6922
 Castellón/Castelló,2824,5293,15891,595,2301,6257,4123
 Ciudad Real,2364,4184,12609,301,945,4037,3121
 Córdoba,4188,5391,19991,589,1807,7402,4691
" Coruña, A",4325,11359,28984,1429,3522,14123,8524
 Cuenca,1238,2218,5786,89,427,1440,1312
 Girona,3743,9970,21544,1014,5401,10615,7369
 Granada,3477,7512,24508,993,2543,10530,6249
 Guadalajara,671,2493,4865,209,549,2106,1480
 Gipuzkoa,4039,6680,17066,950,1520,8317,4628
 Huelva,1362,2841,11718,262,1048,3903,2719
 Huesca,1218,2293,5640,186,855,2501,2108
 Jaén,3115,3841,15534,303,1175,4489,3442
 León,2132,4546,11975,348,875,4274,2797
 Lleida,2301,4772,12278,445,2353,4943,3132
" Rioja, La",2190,2777,7677,282,1836,3392,2106
 Lugo,1507,3572,9852,190,942,3346,2394
 Madrid,20553,61834,159638,21902,35310,137249,50954
 Málaga,4472,16941,47565,2629,11576,26292,12839
 Murcia,7079,12514,36454,1364,4690,15686,9461
 Navarra,3915,6565,15935,752,1601,8263,4419
 Ourense,1639,3620,8537,198,896,3081,2070
 Asturias,3394,8088,26014,1039,3673,11171,7265
 Palencia,679,1443,4012,89,231,1266,1003
" Palmas, Las",2753,8684,29232,1431,3759,15344,8593
 Pontevedra,4253,9080,26312,1004,2949,11159,6877
 Salamanca,1711,2922,8390,271,914,3300,2131
 Santa Cruz de Tenerife,2793,8062,27096,1551,3962,14558,8291
 Cantabria,1989,5530,14173,542,2081,6197,4140
 Segovia,789,1834,4255,127,334,1558,1016
 Sevilla,6726,12041,48064,2276,5933,23304,11974
 Soria,504,831,2127,52,309,783,586
 Tarragona,2999,8029,19715,853,3907,8650,5353
 Teruel,772,1550,3517,96,364,1108,916
 Toledo,4071,7796,17324,456,1554,5815,4338
 Valencia/València,11338,20803,64375,4096,10669,34873,18767
 Valladolid,2104,3880,11918,507,1587,5893,3413
 Bizkaia,4453,10790,27469,1748,2270,13153,6736
 Zamora,963,1893,4578,81,282,1401,990
 Zaragoza,4298,7671,21545,1087,4723,10974,6345
 Ceuta,62,288,1865,53,130,539,461
 Melilla,110,415,2617,54,118,615,498